gender,deaths,agegroup,pop,deaths_100k,strictness,method,mode
Female,216,62,5473005,3.9466435714931745,Permissive,Suicide,Non-Firearm
Female,227,63,5403148,4.201254527915948,Permissive,Suicide,Non-Firearm
Female,215,64,5305032,4.052755949445734,Permissive,Suicide,Non-Firearm
Female,186,65,5166731,3.599955174751695,Permissive,Suicide,Non-Firearm
Female,175,66,4997789,3.5015483846957123,Permissive,Suicide,Non-Firearm
Female,171,67,4846226,3.5285188928456908,Permissive,Suicide,Non-Firearm
Female,152,68,4689267,3.2414447716455475,Permissive,Suicide,Non-Firearm
Female,157,69,4540636,3.4576654019392876,Permissive,Suicide,Non-Firearm
Female,158,70,4403898,3.587730687677144,Permissive,Suicide,Non-Firearm
Female,131,71,4320560,3.0320143685077863,Permissive,Suicide,Non-Firearm
Female,101,72,4038446,2.500962003701424,Permissive,Suicide,Non-Firearm
Female,106,73,3787306,2.7988232268530715,Permissive,Suicide,Non-Firearm
Female,102,74,3545226,2.8771085397658713,Permissive,Suicide,Non-Firearm
Female,81,75,3321574,2.4386029033223404,Permissive,Suicide,Non-Firearm
Female,88,76,2965182,2.9677773573426522,Permissive,Suicide,Non-Firearm
Female,59,77,2802980,2.1049026393338517,Permissive,Suicide,Non-Firearm
Female,78,78,2627500,2.9686013320647007,Permissive,Suicide,Non-Firearm
Female,62,79,2431407,2.549963868657119,Permissive,Suicide,Non-Firearm
Female,50,80,2208891,2.2635793255529584,Permissive,Suicide,Non-Firearm
Female,39,81,2024411,1.92648627180943,Permissive,Suicide,Non-Firearm
Female,39,82,1869100,2.0865657268203948,Permissive,Suicide,Non-Firearm
Female,32,83,1728855,1.8509360241315784,Permissive,Suicide,Non-Firearm
Female,30,84,1575532,1.9041187357667124,Permissive,Suicide,Non-Firearm
Male,274,15,5685214,4.8195195466696585,Permissive,Suicide,Non-Firearm
Male,325,16,5630614,5.772017048229554,Permissive,Suicide,Non-Firearm
Male,372,17,5635856,6.600594479347947,Permissive,Suicide,Non-Firearm
Male,518,18,5617238,9.221613896366861,Permissive,Suicide,Non-Firearm
Male,578,19,5701363,10.137926667710861,Permissive,Suicide,Non-Firearm
Male,619,20,5744440,10.775636963742333,Permissive,Suicide,Non-Firearm
Male,620,21,5815068,10.661956145654703,Permissive,Suicide,Non-Firearm
Male,707,22,5822375,12.142811138066511,Permissive,Suicide,Non-Firearm
Male,655,23,5797246,11.29846827269362,Permissive,Suicide,Non-Firearm
Male,753,24,5775920,13.036884167370738,Permissive,Suicide,Non-Firearm
Male,794,25,5785242,13.724577122270771,Permissive,Suicide,Non-Firearm
Male,764,26,5840961,13.08003939762652,Permissive,Suicide,Non-Firearm
Male,872,27,5907467,14.76097962121498,Permissive,Suicide,Non-Firearm
Male,862,28,5957160,14.469982340578396,Permissive,Suicide,Non-Firearm
Male,922,29,5935388,15.533946559180293,Permissive,Suicide,Non-Firearm
Male,912,30,5863968,15.552608745477464,Permissive,Suicide,Non-Firearm
Male,936,31,5765849,16.233515653982614,Permissive,Suicide,Non-Firearm
Male,973,32,5680329,17.12928951826558,Permissive,Suicide,Non-Firearm
Male,984,33,5615916,17.521629597023885,Permissive,Suicide,Non-Firearm
Male,927,34,5559082,16.675415113502552,Permissive,Suicide,Non-Firearm
Male,932,35,5539603,16.824310334152106,Permissive,Suicide,Non-Firearm
Male,903,36,5526274,16.340123562458178,Permissive,Suicide,Non-Firearm
Male,863,37,5514402,15.649929040356506,Permissive,Suicide,Non-Firearm
Male,831,38,5526061,15.037836172999178,Permissive,Suicide,Non-Firearm
Male,854,39,5490049,15.555416718502876,Permissive,Suicide,Non-Firearm
Male,811,40,5407126,14.998725755604735,Permissive,Suicide,Non-Firearm
Male,830,41,5288659,15.693959470633294,Permissive,Suicide,Non-Firearm
Male,786,42,5169625,15.204197596537465,Permissive,Suicide,Non-Firearm
Male,772,43,5083818,15.185437401574958,Permissive,Suicide,Non-Firearm
Male,712,44,5007839,14.21770947508496,Permissive,Suicide,Non-Firearm
Male,716,45,4962665,14.42773187390243,Permissive,Suicide,Non-Firearm
Male,707,46,4958220,14.25914945282783,Permissive,Suicide,Non-Firearm
Male,746,47,5063010,14.73431812301378,Permissive,Suicide,Non-Firearm
Male,726,48,5152421,14.090463492792999,Permissive,Suicide,Non-Firearm
Male,727,49,5207121,13.961649825306537,Permissive,Suicide,Non-Firearm
Male,658,50,5224924,12.59348461336471,Permissive,Suicide,Non-Firearm
Male,653,51,5167167,12.637485879593209,Permissive,Suicide,Non-Firearm
Male,649,52,5077787,12.78115840621121,Permissive,Suicide,Non-Firearm
Male,621,53,5073881,12.239151844515076,Permissive,Suicide,Non-Firearm
Male,619,54,5136852,12.050181706617204,Permissive,Suicide,Non-Firearm
Male,594,55,5215326,11.389508536954354,Permissive,Suicide,Non-Firearm
Male,650,56,5270599,12.33256409755324,Permissive,Suicide,Non-Firearm
Male,662,57,5330279,12.41961255686616,Permissive,Suicide,Non-Firearm
Male,622,58,5360727,11.602903859868261,Permissive,Suicide,Non-Firearm
Male,573,59,5329950,10.75056989277573,Permissive,Suicide,Non-Firearm
Male,578,60,5277114,10.952956483411198,Permissive,Suicide,Non-Firearm
